WalletAddress,MintAddressCount,Status,ErrorDetails
"AFiHmviCgsUx9fJwRWS8jQrqEbFNSv5zQHbM6nizhsjX",0,"ScrapeError","net::ERR_TUNNEL_CONNECTION_FAILED at https://solscan.io/account/AFiHmviCgsUx9fJwRWS8jQrqEbFNSv5zQHbM6nizhsjX?activity_type=ACTIVITY_TOKEN_ADD_LIQ#defiactivities"
"D5DDkrJTAN6uHYAkWDSm3SAHsWptp9i92XyJCVUYB8qz",0,"Success (No Mints)",""
"GXXqamhY9NGYPyssZtVMfcja2RN1wtSQLC8NYp4pFUSJ",0,"Success (No Mints)",""
"F1H8gNWaMq82Abe3G2Pn7Z9X4NnMUtSkwirk8raCGtmw",0,"Success (No Mints)",""
"3PwJmnjy5eABAZ4JA4aFxJW3b2B1g9o9q71zoTu5wNLW",0,"Success (No Mints)",""
"CnS2fquKKdbw2r7owcojiRwEFk8DM2PNhHDPuSD3GDCh",0,"Success (No Mints)",""
"8WG1osPZutKRW8SmVTEYLF2V53TAcCyb9tbkdsuYpq8g",0,"Success (No Mints)",""
"7DML92TBvJ4qamFaJbb6Mcg2jSZpyCus8BWu4fexo8x8",0,"Success (No Mints)",""
"GyMs374xC3UE6X2UuqLWFPoWnR2L84uodXD5x7LUY9a6",0,"Success (No Mints)",""
"737NntzWkc6jK48J3FvQkv82XEFdfB2xu8Z85Er5A38s",0,"Success (No Mints)",""
"3cVvrN9oycFeyeFW3mS3f5goas5ZVvUgtV6dAsq9bZqW",0,"Success (No Mints)",""
"EbzVR5BgDUuBKFYVctjm8HH5ib8H35MExoKXJLcssixv",0,"Success (No Mints)",""
"EYEayqM1hFTuNDHKw4VXSzpLLJ41FsNJss7mosLvj3Td",0,"Success (No Mints)",""
"5KWDprhqxgWm92Nx4TWNRR9FmQ68DSuW8uozDff9RxhE",0,"Success (No Mints)",""
"HcHUCU8GLkKxMXzK7ABgAm3ochSQs5tDNtoArYGZukWc",0,"Success (No Mints)",""
"FStbjcAqSiXPRzxPxnVX3qMfaQCeN5HTuoxphLRDFjSv",0,"Success (No Mints)",""
"DGUVmREQ4hpRmkf9sRP4Fb48az5ACCLoxH4FMrvEPrZN",0,"Success (No Mints)",""
"66WDYkVP2LbnwKeavx91rnV5MWh6ET9e1knDSdKahZZ9",0,"Success (No Mints)",""
"3D6UoGgXE9VHsq65v9Es2jboZoYfyW2ZKAf5S3XTxuqp",0,"Success (No Mints)",""
"F5BMbX9gNw12RLy5TgyrbiwL6Sm4uxM9TDcb34fRUPBM",0,"Success (No Mints)",""
"28bYh8Cd2QyaVkQWBUb4mSsc9LsbhN1tKmu3PRb2Cgue",0,"Success (No Mints)",""
"12fGtmYmEFpcZGjTuREsfdpBkLYz9PFdyYkLEyquC7dv",0,"Success (No Mints)",""
"C1HxFNF2kU666vdujfQ5WhgWF1gaL7TjH6ff39J8cfpH",0,"Success (No Mints)",""
"8tFiqKEkxd6UPbyiVCnJFgjjgJpwpy5fCZp18zVBchH4",0,"Success (No Mints)",""
"Go5eqoZWCrHF4jMfZYmbK3PgXoTUyXGfhARdk7bj9hyd",0,"Success (No Mints)",""
"5qnYuJE3bkwBN3nqYqnZKTMF6t3MFBDzneUPHRRue7uA",0,"Success (No Mints)",""
"89VhVC4J15CHzCeofZZH1JMq3sUgaBaNKWAnCHnp3vRc",0,"Success (No Mints)",""
"8QPKJp12J3EKKjHbx1kkqKBNurhGqQtH8vABmHgwnHmh",0,"Success (No Mints)",""
"9GijESTPGxJKJkwpv1RSsUv5yYUSggkuiE12sUEx2GD2",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"DvTf7mUTH9yun12UqAMJTWadhaKA1rkeiwgm2rT1TMca",0,"Success (No Mints)",""
"3K4fxVdrWtbYEaT6JrXc2NHbgj1d4dRu6j2ZumbgiWNL",0,"Success (No Mints)",""
"J11T8rCZF4WuyWdCsSCxoy23UatAAjUfdgo9YwNQacHC",0,"Success (No Mints)",""
"CjrzCYhd8fm3tGyTBQCRP2AqZeBYuyFZ8krCvMCn4RwP",0,"Success (No Mints)",""
"8nDxYubdzPTs5PTRuEAzib2QHTJLfERvZjDEbc3rYVUS",0,"Success (No Mints)",""
"2Vu9ayKP5mvisKazkX7qmyB11C7ftw8xJG31HXGYCQwG",0,"Success (No Mints)",""
"7aQh25Ahdn7se6TT6pnS7bE3KAKmEsurGoiDxvZsc5Fv",0,"Success (No Mints)",""
"6mabLGTkHfBeTFmiw7PH2FAUZ2u5UtRpad63E7fdd8oD",0,"Success (No Mints)",""
"GHdgiRdAHaPePBTrxRkx2zEfk4r5c8DHdocqEVxiEixL",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"xqXWv6NGDb5NMa5VyJ1a1r1tBEQGrzNywkwBNqJKEBM",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"9F8jNPhXTqqqP1o2LauWWYkLuoRP1sFNpXFWP8ysDweb",0,"Success (No Mints)",""
"HsKDaMHzjZPdjJxmbVCgez2b7SN6b5N79DLw7pHfdtnV",0,"Success (No Mints)",""
"B7qt4jFFA9EvUhEf75XUs6c2mvTSNt9mvDktjGySQ4CL",0,"Success (No Mints)",""
"CmTdi9nZESFG1c8RAwuYTLoj9ypJvJJsoKUzhfATmNYA",0,"Success (No Mints)",""
"Ez7vAc2J3Qpd6JSWmJBX9EprM5e5sZ4MkV6UytoHyn8T",0,"Success (No Mints)",""
"FtAgKqRMEhqVGet8Etj8empkEut4qjZgqtNWk2Ac1tjm",0,"Success (No Mints)",""
"7rYa41Gdzca8JbXwAQHeW97GRZi8f9KHECad1qWkKwcs",0,"Success (No Mints)",""
"4hB5T6sqTT76Foz79MEwoLVAkqwKErHtSKMgQgBhAer8",0,"Success (No Mints)",""
"5yrvBcx1X7cMHxnQ7SYgzBDwAv9E8tkNbfquegnaHXz4",0,"Success (No Mints)",""
"4RbKwLdaHnTzYR2RV1KquGsbvKev5yphPVHhWcfPbirg",0,"Success (No Mints)",""
"Hq3vsNKp2HsMMYR2vdaiYnEuyjWZFVLCmbVRUAnYuES2",0,"Success (No Mints)",""
"HFYjSGd5nPDwDJNsMoYZPQvnsEJHmhrboeodJsAmsqu2",0,"Success (No Mints)",""
